City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
96,Tautira,PF,2020-03-02 20:12:45,-17.73,-149.15,84.2,74,90,10.29
97,Viedma,AR,2020-03-02 20:07:53,-40.81,-63.0,99.05,12,22,14.94
98,Saskylakh,RU,2020-03-02 20:12:28,71.92,114.08,13.35,84,100,13.33
99,Bluff,NZ,2020-03-02 20:12:27,-46.6,168.33,55.99,90,100,11.99
100,Leshukonskoye,RU,2020-03-02 20:12:46,64.9,45.76,27.46,90,98,9.73
101,Ushuaia,AR,2020-03-02 20:09:40,-54.8,-68.3,59.0,50,40,4.7
102,New Norfolk,AU,2020-03-02 20:12:46,-42.78,147.06,55.4,54,75,8.05
103,San Cristobal,VE,2020-03-02 20:12:29,7.77,-72.22,91.4,46,40,11.41
104,Castro,BR,2020-03-02 20:11:26,-24.79,-50.01,63.09,94,89,6.62
105,Ilulissat,GL,2020-03-02 20:12:47,69.22,-51.1,-16.6,51,20,3.36
106,San Patricio,MX,2020-03-02 20:12:35,19.22,-104.7,84.2,66,5,11.41
107,Hilo,US,2020-03-02 20:12:47,19.73,-155.09,77.0,65,1,3.36
108,Cayenne,GF,2020-03-02 20:09:33,4.93,-52.33,82.4,74,75,11.41
109,Ushuaia,AR,2020-03-02 20:09:40,-54.8,-68.3,59.0,50,40,4.7
110,Kodiak,US,2020-03-02 20:12:48,57.79,-152.41,28.4,42,1,14.99
111,Noumea,NC,2020-03-02 20:12:48,-22.28,166.46,80.01,94,92,3.36
112,Doha,QA,2020-03-02 20:10:53,25.29,51.53,66.2,68,0,11.41
113,Lawrence,US,2020-03-02 20:11:52,38.97,-95.24,54.0,43,1,6.93
114,Ushuaia,AR,2020-03-02 20:09:40,-54.8,-68.3,59.0,50,40,4.7
115,Saint-Louis,SN,2020-03-02 20:12:49,16.33,-15.0,91.4,19,0,2.24
116,Vaini,TO,2020-03-02 20:12:37,-21.2,-175.2,78.8,88,20,6.93
117,Port Elizabeth,ZA,2020-03-02 20:12:40,-33.92,25.57,68.0,94,75,3.36
118,Mehamn,NO,2020-03-02 20:12:50,71.04,27.85,32.0,63,40,23.04
119,Vostok,RU,2020-03-02 20:12:50,46.49,135.88,13.93,97,100,0.98
120,Haines Junction,CA,2020-03-02 20:12:50,60.75,-137.51,22.93,86,10,25.95
121,Rikitea,PF,2020-03-02 20:12:36,-23.12,-134.97,80.17,79,100,17.52
122,Anloga,GH,2020-03-02 20:12:51,5.79,0.9,86.0,84,20,10.29
123,Markova,UA,2020-03-02 20:12:51,48.68,24.41,46.4,49,10,6.71
124,Tuktoyaktuk,CA,2020-03-02 20:12:51,69.45,-133.04,-40.0,65,5,4.7
125,Jamestown,US,2020-03-02 20:12:51,42.1,-79.24,48.2,93,90,13.87
126,San Patricio,MX,2020-03-02 20:12:35,19.22,-104.7,84.2,66,5,11.41
127,Zhezkazgan,KZ,2020-03-02 20:12:52,47.8,67.71,15.58,90,31,10.49
128,Hasaki,JP,2020-03-02 20:12:52,35.73,140.83,39.2,100,75,1.12
129,Odweyne,SO,2020-03-02 20:12:52,9.41,45.06,70.52,30,0,8.23
130,Borskoye,RU,2020-03-02 20:12:52,53.03,51.72,26.49,83,100,9.35
131,Grindavik,IS,2020-03-02 20:12:53,63.84,-22.43,35.6,66,90,33.33
132,Dingle,PH,2020-03-02 20:12:53,11.0,122.67,71.35,91,85,10.16
133,Kahului,US,2020-03-02 20:11:27,20.89,-156.47,73.4,78,20,14.99
134,Rikitea,PF,2020-03-02 20:12:36,-23.12,-134.97,80.17,79,100,17.52
135,Tautira,PF,2020-03-02 20:12:45,-17.73,-149.15,84.2,74,90,10.29
136,Honiara,SB,2020-03-02 20:12:54,-9.43,159.95,75.2,100,20,2.24
137,Mataura,NZ,2020-03-02 20:12:23,-46.19,168.86,55.99,90,100,11.99
138,Rikitea,PF,2020-03-02 20:12:36,-23.12,-134.97,80.17,79,100,17.52
139,Albany,US,2020-03-02 20:10:25,42.6,-73.97,59.0,32,40,18.34
140,Ushuaia,AR,2020-03-02 20:09:40,-54.8,-68.3,59.0,50,40,4.7
141,Busselton,AU,2020-03-02 20:12:26,-33.65,115.33,59.0,47,0,15.43
142,Jamestown,US,2020-03-02 20:12:51,42.1,-79.24,48.2,93,90,13.87
143,Castro,BR,2020-03-02 20:11:26,-24.79,-50.01,63.09,94,89,6.62
144,Raduzhnyy,RU,2020-03-02 20:12:55,62.1,77.47,13.64,96,88,7.07
145,Sterling,US,2020-03-02 20:12:55,39.01,-77.43,66.2,58,75,11.41
146,Atuona,PF,2020-03-02 20:12:55,-9.8,-139.03,82.04,76,30,14.94
147,Port Alfred,ZA,2020-03-02 20:12:36,-33.59,26.89,69.01,94,7,6.46
148,Yerbogachen,RU,2020-03-02 20:12:56,61.28,108.01,-0.51,98,63,5.99
149,Cherskiy,RU,2020-03-02 20:12:56,68.75,161.3,-11.65,97,100,4.27
150,Port Lincoln,AU,2020-03-02 20:09:04,-34.73,135.87,59.63,75,97,16.55
151,Yellowknife,CA,2020-03-02 20:12:57,62.46,-114.35,0.0,70,75,13.87
152,Chegdomyn,RU,2020-03-02 20:12:57,51.12,133.02,7.52,96,100,0.69
153,Gunnedah,AU,2020-03-02 20:12:57,-30.98,150.25,69.8,83,100,8.05
154,Butaritari,KI,2020-03-02 20:12:39,3.07,172.79,82.58,78,100,22.59
155,Kiunga,PG,2020-03-02 20:12:58,-6.12,141.29,74.95,99,100,2.95
156,Rikitea,PF,2020-03-02 20:12:36,-23.12,-134.97,80.17,79,100,17.52
157,Cherskiy,RU,2020-03-02 20:12:56,68.75,161.3,-11.65,97,100,4.27
158,Ambovombe,MG,2020-03-02 20:12:58,-25.17,46.08,69.96,80,35,13.51
159,Atuona,PF,2020-03-02 20:12:55,-9.8,-139.03,82.04,76,30,14.94
160,Chuy,UY,2020-03-02 20:12:24,-33.7,-53.46,75.13,63,13,14.16
161,Butaritari,KI,2020-03-02 20:12:39,3.07,172.79,82.58,78,100,22.59
162,Kiama,AU,2020-03-02 20:12:59,-34.68,150.87,66.99,100,90,5.82
163,Norman Wells,CA,2020-03-02 20:12:35,65.28,-126.83,-11.2,76,90,8.05
164,Butaritari,KI,2020-03-02 20:12:39,3.07,172.79,82.58,78,100,22.59
165,Ahipara,NZ,2020-03-02 20:13:00,-35.17,173.17,70.0,100,85,10.69
166,Gamba,GA,2020-03-02 20:13:00,-2.65,10.0,80.15,86,8,7.43
167,Mairana,BO,2020-03-02 20:13:00,-18.12,-63.93,73.26,54,87,2.26
168,Alice Springs,AU,2020-03-02 20:13:01,-23.7,133.88,64.4,93,90,9.17
169,Kysyl-Syr,RU,2020-03-02 20:13:01,63.9,122.76,-11.92,99,100,3.8
170,Gizo,SB,2020-03-02 20:12:25,-8.1,156.84,80.08,81,0,0.69
171,Albany,US,2020-03-02 20:10:25,42.6,-73.97,59.0,32,40,18.34
172,Atuona,PF,2020-03-02 20:12:55,-9.8,-139.03,82.04,76,30,14.94
173,Ust-Maya,RU,2020-03-02 20:13:01,60.42,134.53,-7.11,99,100,2.26
174,Pevek,RU,2020-03-02 20:12:27,69.7,170.31,-7.89,98,100,9.37
175,Kruisfontein,ZA,2020-03-02 20:13:02,-34.0,24.73,63.64,96,0,0.51
176,Dikson,RU,2020-03-02 20:12:27,73.51,80.55,1.89,99,98,9.78
177,Rikitea,PF,2020-03-02 20:12:36,-23.12,-134.97,80.17,79,100,17.52
178,Pangnirtung,CA,2020-03-02 20:13:03,66.15,-65.71,-20.2,61,40,2.24
